description,name,price,offer_price,meassure,pum,size,brand,meassure_description,market,timestamp,identifier
Leche desnatada Kaiku sin lactosa brik 1 l.,"Leche desnatada UHT sin lactosa enriquecida en vitaminas A, D, E y ácido fólico",0.99,None,l,0.99,,KAIKU,,carrefour,1618236071.8954315,R-521007032
"Leche entera Carrefour botella 1,5 l.",Leche UHT entera enriquecida con vitamina D.,1.05,None,l,0.7,,CARREFOUR,,carrefour,1618236078.9990728,R-836924955
Leche desnatada 0% MG Central Lechera Asturiana brik 1 l.,,0.76,0.79,,0.79,,,,carrefour,1618236085.7737813,R-826601290
"Leche semidesnatada Celta brik 1,5 l.",Leche Semidesnatada UHT,1.17,None,l,0.78,,CELTA,,carrefour,1618236092.8817775,R-521007067
"Leche entera Celta brik 1,5 l.",Leche Entera UHT,1.17,None,l,0.78,,CELTA,,carrefour,1618236100.022679,R-521006982
Leche semidesnatada con calcio Central Lechera Asturiana brik 1 l.,,0.94,None,,0.94,,,,carrefour,1618236106.7821991,R-521033088
"Leche semidesnatada Carrefour botella 1,5 l.",Leche UHT Semidesnatada enriquecida con vitaminas A y D,1.05,None,l,0.7,,CARREFOUR,,carrefour,1618236113.8868132,R-835176177
Leche semidesnatada Lauki brik 1 l.,,0.79,None,,0.79,,,,carrefour,1618236120.6077125,R-521012942
Leche desnatada Kaiku sin lactosa brik 1 l.,"Leche desnatada UHT sin lactosa enriquecida en vitaminas A, D, E y ácido fólico",0.99,None,l,0.99,,KAIKU,,carrefour,1618236127.5538158,R-521007032
"Leche entera Carrefour botella 1,5 l.",Leche UHT entera enriquecida con vitamina D.,1.05,None,l,0.7,,CARREFOUR,,carrefour,1618236134.6756456,R-836924955
Leche semidesnatada Central Lechera Asturiana brik 500 ml.,,0.49,None,,0.98,,,,carrefour,1618236141.3636875,R-530363462
Leche semidesnatada ecológica Carrefour Bio sin lactosa brik 1 l.,,1.18,None,,1.18,,,,carrefour,1618236148.0267022,
Bebida láctea semi Flora Folic B brik 1 l.,,1.1,None,,1.1,,,,carrefour,1618236154.770063,R-531201976
Leche de cabra semidesnatada Puleva botella 1 l.,,1.55,None,,1.55,1,,,carrefour,1618236161.465167,R-684904573
Leche desnatada con calcio Central Lechera Asturiana brik 1 l.,,0.94,None,,0.94,,,,carrefour,1618236168.182366,R-521030172
Leche entera Kaiku sin lactosa brik 1 l.,"Leche entera UHT sin lactosa enriquecida en vitaminas A, D, E y ácido fólico",0.99,None,l,0.99,,KAIKU,,carrefour,1618236175.2926128,R-541301772
Leche entera ecológica Asana brik 1 l.,,1.35,None,,1.35,,,,carrefour,1618236182.0734541,
Leche semidesnatada Únicla sin lactosa brik 1 l.,Leche UHT Semidesnatada Sin Lactosa,1.15,None,l,1.15,,UNICLA,,carrefour,1618236189.218232,R-663201786
Leche semidesnatada Central Lechera Asturiana brik 500 ml.,,0.49,None,,0.98,,,,carrefour,1618236196.1114485,R-530363462
Leche semidesnatada ecológica Carrefour Bio sin lactosa brik 1 l.,,1.18,None,,1.18,,,,carrefour,1618236203.0543888,
Bebida láctea semi Flora Folic B brik 1 l.,,1.1,None,,1.1,,,,carrefour,1618236209.8979235,R-531201976
Leche de cabra semidesnatada Puleva botella 1 l.,,1.55,None,,1.55,1,,,carrefour,1618236216.543589,R-684904573
Leche desnatada con calcio Central Lechera Asturiana brik 1 l.,,0.94,None,,0.94,,,,carrefour,1618236223.269703,R-521030172
Leche entera Kaiku sin lactosa brik 1 l.,"Leche entera UHT sin lactosa enriquecida en vitaminas A, D, E y ácido fólico",0.99,None,l,0.99,,KAIKU,,carrefour,1618236230.3935733,R-541301772
Leche entera ecológica Asana brik 1 l.,,1.35,None,,1.35,,,,carrefour,1618236237.179678,
Leche semidesnatada Únicla sin lactosa brik 1 l.,Leche UHT Semidesnatada Sin Lactosa,1.15,None,l,1.15,,UNICLA,,carrefour,1618236244.4557395,R-663201786
Leche desnatada Salud Pascual brik 1 l.,,1.09,None,,1.09,,,,carrefour,1618236251.2141678,
Leche desnatada proteínas Bienatur Clesa sin lactosa brik 1 l.,"Leche desnatada ultrafiltrada sin lactosa, con alto contenido en proteínas y calcio natural",1.25,None,l,1.25,,CLESA,,carrefour,1618236258.2236311,
Leche semidesnatada ecológica Celta Bio 1 l.,,1.15,None,,1.15,,,,carrefour,1618236264.9899402,
"Leche entera Président botella 1,5 l.",Leche entera. UHT,1.09,None,l,0.73,,PRESIDENT,,carrefour,1618236272.046828,
"Leche semidesnatada fresca Puleva sin lactosa botella 1,5 l.",,1.83,None,,1.22,,,,carrefour,1618236278.8107903,
Leche semidesnatada ecológica Puleva sin lactosa brik 1 l.,,1.45,None,,1.45,,,,carrefour,1618236285.6747286,
Leche entera de cabra ecológica Cantero de Letur botella de vidrio 1 l.,,4.4,None,,4.4,,,,carrefour,1618236292.5367603,
Leche desnatada UHT Quién es el jefe brik 1 l.,,0.79,None,,0.79,,,,carrefour,1618236299.2838755,
Leche desnatada Salud Pascual brik 1 l.,,1.09,None,,1.09,,,,carrefour,1618236306.061392,
Leche desnatada proteínas Bienatur Clesa sin lactosa brik 1 l.,"Leche desnatada ultrafiltrada sin lactosa, con alto contenido en proteínas y calcio natural",1.25,None,l,1.25,,CLESA,,carrefour,1618236313.0876896,
Leche semidesnatada ecológica Celta Bio 1 l.,,1.15,None,,1.15,,,,carrefour,1618236319.8294203,
