description,name,price,offer_price,meassure,pum,size,brand,meassure_description,market
PULEVA leche omega 3 con nueces envase 1 lt,"Bebida láctea con Omega 3, nueces y vitaminas A, B6, B9 (ácido fólico), C, D y E. UHT.",1.45,,lt,145.0,1.0,PULEVA,envase 1 lt,dia
VIVESOY bebida de soja ligera envase 1 lt,Bebida de soja ligera con calcio y vitaminas A y D,1.49,,lt,149.0,1.0,VIVESOY,envase 1 lt,dia
PULEVA Max crecimiento con cereales envase 1 lt,Bebida láctea infantil con cereales y omega 3.UHT,1.45,,lt,145.0,1.0,PULEVAM,envase 1 lt,dia
DIA VITAL bebida de soja light envase 1 lt,,0.89,,lt,89.0,1.0,DIAVITAL,envase 1 lt,dia
DIA VITAL leche semidesnatada sin lactosa envase 1 lt,,0.75,,lt,75.0,1.0,DIAVITAL,envase 1 lt,dia
ALPRO bebida de soja ligera envase 1 lt,"Bebida de soja ligera UHT reducida en grasa, enriquecida con calcio y vitaminas (B2,B12 y D)",1.49,,lt,149.0,1.0,ALPRO,envase 1 lt,dia
PULEVA leche semidesnatada ecológica envase 1 lt,Leche UHT Semidesnatada de Agricultura Ecológica.,1.35,,lt,135.0,1.0,PULEVA,envase 1 lt,dia
IDEAL leche evaporada envase 525 gr,Leche evaporada parcialmente desnatada. Materia grasa: 4%. Extracto seco magro lácteo: 20%.,1.99,,gr,379.0,525.0,IDEAL,envase 525 gr,dia
ALPRO bebida de avena envase 1 lt,Bebida de avena UHT enriquecida con calcio y vitamina D,1.85,,lt,185.0,1.0,ALPRO,envase 1 lt,dia
DIA VITAL leche entera sin lactosa envase 1 lt,,0.75,,lt,75.0,1.0,DIAVITAL,envase 1 lt,dia
ECOCESTA bebida vegetal de almendras bio envase 1 lt,Bebida vegetal,2.39,,lt,239.0,1.0,ECOCESTA,envase 1 lt,dia
ECOCESTA bebida vegetal de avena bio envase 1 lt,Bebida vegetal,1.89,,lt,189.0,1.0,ECOCESTA,envase 1 lt,dia
DIA DELICIOUS leche entera fresca botella 1.5 lt,,1.19,,lt,79.0,1.5,DIADELICIOUS,botella 1.5 lt,dia
DIA DELICIOUS leche semidesnatada fresca botella 1.5 lt,,1.18,,lt,79.0,1.5,DIADELICIOUS,botella 1.5 lt,dia
ASTURIANA leche entera sin lactosa envase 1 lt,,0.92,,lt,92.0,1.0,ASTURIANA,envase 1 lt,dia
ASTURIANA Suprema leche desnatada botella 1 lt,Leche UHT desnatada ultrafiltrada sin lactosa con vitamina D,1.05,,lt,105.0,1.0,ASTURIANAS,botella 1 lt,dia
PASCUAL leche entera pack 6 unidades 200 ml,Leche entera UHT,1.85,,ml,154.0,200.0,PASCUAL,unidades 200 ml,dia
PASCUAL leche semidesnatada salud envase1 lt,"Leche semidesnatada UHT con vitaminas (A, D, B6, B12 y ácido folico) y minerales (zinc y selenio)",0.99,,lt,99.0,1.0,PASCUAL,salud envase1 lt,dia
YOSOY bebida de avena envase 1 lt,bebida de Avena UHT,1.45,,lt,145.0,1.0,YOSOY,envase 1 lt,dia
CELTA leche semidesnatada Bio ecológica envase 1 lt,Leche Semidesnatada UHT Ecológica,1.09,,lt,109.0,1.0,CELTAB,envase 1 lt,dia
